N, expl vec, intrinsics, non-temporal
24, 193.106, 197.434, 28.7256
48, 148.38, 148.072, 32.2666
96, 124.523, 123.354, 37.2233
192, 92.7426, 91.1771, 14.158
384, 58.2358, 60.6925, 9.38123
768, 24.0972, 25.335, 10.1524
1536, 13.0444, 13.6009, 11.2321
3072, 10.6145, 10.7769, 11.0037
6144, 9.86355, 9.34498, 10.998
12288, 8.40195, 8.23799, 11.2069
